unique_id,p_laugh,p_drum,p_pik,overlap,truth,more than one?,talking or other sounds?
273072621,0.1675920188,0,0.8324079812,0.5,pik,0,0
561220301,0,0,1,0.5,pik,0,0
309454251,1,0,0,0.5,laugh,0,0
239810171,0.03708015879,0.01853224198,0.9443875992,0.5,pik,0,1
347229281,1,0,0,0.5,laugh,0,0
533570501,0.05891212461,0.8063331848,0.1347546906,0.5,drum,0,0
614912426,0,1,0,0.5,drum,0,0
150354041,5.5299999999999994e-24,0.9999922954,7.7e-6,0.5,drum,0,0
570770731,0,1,0,0.5,drum,0,0
347858241,1,0,1.24e-30,0.5,laugh,0,0
617342193,0,0.9999995869,4.13e-7,0.5,drum,0,1
618172651,1,0,0,0.5,laugh,0,0
609132534,0,8.87e-38,1,0.5,pik,0,0
104357441,0.6672468213,1.2400000000000001e-33,0.333,0.5,laugh,0,0
311688651,1,0,0,0.5,laugh,0,0
601652861,0.670725306,0,0.329274694,0.5,laugh,0,1
323641781,0.9997252342,1.79e-23,2.747658435e-4,0.5,laugh,0,0
610218206,1.48e-18,7.71e-36,1,0.5,pik,0,0
390161811,0,0,1,0.5,pik,0,0
434372741,0,0,1,0.5,pik,0,1
318540001,2.2599999999999998e-35,0.7999999613,0.2000000387,0.5,drum,0,1
616122737,0.08007319461,0.88,0.04017354412,0.5,drum,0,1
490910681,0,0,1,0.5,pik,0,0
565879421,1.57e-14,0,1,0.5,laugh,0,0
520350001,0,0,1,0.5,pik,0,0
243660931,0.0215054007,0.007074108163,0.9714204911,0.5,pik,0,0
220759221,0.05922259633,0.3448141705,0.5959632332,0.5,drum,0,1
443490761,0,1,0,0.5,drum,0,0
323237621,1,0,1.62e-13,0.5,laugh,0,0
401144841,0,1,0,0.5,drum,0,1
392495311,3.33e-38,0,1,0.5,pik,0,1
181737771,0,0,1,0.5,pik,0,0
324141031,0.00436625004,0.2529477224,0.7426860276,0.5,drum,0,1
279260991,0.4370875586,0,0.5629124414,0.5,laugh,0,1
303711261,1.5999999999999998e-32,0.6554661778,0.3445338222,0.5,drum,0,1
614563468,0,0.84,0.1599089688,0.5,drum,0,0
429950981,1,0,7.58e-25,0.5,laugh,0,0
147890801,0.01990439106,0.3004435781,0.6796520308,0.5,drum,0,1
436170191,4.25e-29,0.6026434589,0.3973565411,0.5,drum,0,0
618030099,1.12e-33,0,1,0.5,pik,0,0
464790091,1,0,0,0.5,laugh,0,0
350330041,0.5924592686,0.07011303213,0.3374276993,0.5,pik,0,1
616774892,1,0,9.02e-20,0.5,laugh,0,0
155599071,0,1,0,0.5,drum,0,0
505559401,0.04935367111,0,0.95,0.5,pik,0,0
408109331,4.42e-13,1.93e-37,1,0.5,pik,0,1
356095091,3.272641111e-4,0,1,0.5,pik,0,0
445344591,1,0,0,0.5,laugh,0,0
349695741,1,0,0,0.5,laugh,0,1
532778151,2.48e-19,3.38e-25,1,0.5,pik,0,1
366742991,0,0,1,0.5,pik,0,0
473274261,1,0,0,0.5,laugh,0,0
612950835,0.01766359114,1.32e-9,0.98,0.5,pik,0,0
611406572,1.96e-11,0,1,0.5,pik,0,0
211006261,0,1,0,0.5,drum,0,0
613574951,1.94e-16,7.08e-15,1,0.5,pik,0,1
462696961,1,0,0,0.5,laugh,0,0
334233671,1,0,0,0.5,laugh,0,0
90534411,1,0,0,0.5,laugh,0,0
609014861,1,0,0,0.5,laugh,0,0
367317641,0.6666666667,0,0.33,0.5,laugh,0,0
82665391,6.22e-39,1.55e-13,1,0.5,pik,0,1
613508440,1,0,0,0.5,laugh,0,0
599433361,1,0,0,0.5,laugh,0,0
618381365,0,0,1,0.5,pik,0,0
369261521,0,0,1,0.5,pik,0,0
224559801,0.1633225738,0.7142877593,0.12,0.5,drum,0,1
616587785,0.02662382421,0.7049359914,0.27,0.5,drum,0,1
376246401,1,0,0,0.5,laugh,0,0
462975991,1,0,0,0.5,laugh,0,0
222959451,0.02796075197,2.37e-13,0.97,0.5,pik,0,1
228466501,0.2967587688,0.2951328105,0.41,0.5,laugh,0,1
