unique_id,p(laugh),p(drum),p(pik),overlap,truth
273072621,0.3340436838,0,0.6659563162,0.2,pik
561220301,0,0,1,0.2,pik
309454251,1,0,0,0.2,laugh
239810171,3.42E-14,0.03123978069,0.9687602193,0.2,pik
347229281,1,0,0,0.2,laugh
533570501,3.04E-09,0.7894732618,0.2105267351,0.2,drum
150354041,9.22E-24,0.9999869998,1.30E-05,0.2,drum
570770731,0,1,0,0.2,drum
347858241,0.9999999969,0,3.09E-09,0.2,laugh
617342193,2.42E-30,1,2.80E-16,0.2,drum
618172651,1,0,0,0.2,laugh
104357441,1,7.49E-21,1.09E-28,0.2,laugh
311688651,1,0,0,0.2,laugh
601652861,0.6999999881,4.47E-18,0.3000000119,0.2,laugh
323641781,1,0,0,0.2,laugh
434372741,0,0,1,0.2,pik
318540001,4.52E-35,0.6998215584,0.3001784416,0.2,drum
616122737,0.06249999196,0.8750000161,0.06249999196,0.2,drum
490910681,0,0,1,0.2,pik
565879421,0,0,1,0.2,laugh
520350001,0,0,1,0.2,pik
220759221,0.1136479378,0.3719328437,0.5144192185,0.2,drum
443490761,0,1,1.71E-29,0.2,drum
323237621,1,0,3.97E-16,0.2,laugh
401144841,0,1,0,0.2,drum
392495311,2.93E-33,0,1,0.2,pik
181737771,0,0,1,0.2,pik
324141031,8.05E-19,0.2494089478,0.7505910522,0.2,drum
279260991,0.4893712895,0,0.5106287105,0.2,laugh
303711261,1.15E-20,0.6652429431,0.3347570569,0.2,drum
614563468,0,0.9333333341,0.06666666592,0.2,drum
429950981,1,0,1.14E-24,0.2,laugh
147890801,4.42E-06,0.3749981591,0.6249974162,0.2,drum
436170191,6.99E-29,0.6008836123,0.3991163877,0.2,drum
618030099,1.12E-33,0,1,0.2,pik
464790091,1,0,0,0.2,laugh
350330041,0.6831839185,0.08604938044,0.230766701,0.2,pik
616774892,1,0,1.77E-19,0.2,laugh
155599071,0,1,0,0.2,drum
505559401,3.33E-08,0,0.9999999667,0.2,pik
408109331,1.11E-09,0,0.9999999989,0.2,pik
356095091,0.0004908158637,0,0.9995091841,0.2,pik
445344591,1,0,0,0.2,laugh
349695741,1,0,0,0.2,laugh
532778151,3.72E-19,5.06E-25,1,0.2,pik
366742991,0,0,1,0.2,pik
473274261,1,0,0,0.2,laugh
612950835,1.15E-11,8.27E-18,1,0.2,pik
611406572,7.61E-34,0,1,0.2,pik
211006261,0,1,4.00E-27,0.2,drum
613574951,2.23E-16,9.86E-12,1,0.2,pik
462696961,1,0,0,0.2,laugh
334233671,1,0,0,0.2,laugh
90534411,1,0,0,0.2,laugh
609014861,1,0,0,0.2,laugh
367317641,1,0,0,0.2,laugh
82665391,0,0.06108398843,0.9389160116,0.2,pik
613508440,1,0,0,0.2,laugh
599433361,1,0,0,0.2,laugh
618381365,0,0,1,0.2,pik
369261521,2.68E-37,0,1,0.2,pik
224559801,0.161682146,0.6449623317,0.1933555223,0.2,drum
616587785,0.03798429137,0.6894442584,0.2725714503,0.2,drum
376246401,1,0,1.18E-24,0.2,laugh
462975991,1,0,4.09E-36,0.2,laugh
222959451,0.04212371996,2.38E-22,0.95787628,0.2,pik
228466501,0.2352062987,0.235589426,0.5292042753,0.2,laugh
