unique_id,p(laugh),p(drum),p(pik),overlap
273072621,0.3340436838395694,0.0,0.6659563161604306,0.2
561220301,0.0,0.0,1.0,0.2
309454251,1.0,0.0,0.0,0.2
239810171,3.417300118732269e-14,0.031239780693871795,0.968760219306094,0.2
347229281,1.0,0.0,0.0,0.2
533570501,3.0397980274337494e-09,0.789473261834953,0.21052673512524867,0.2
150354041,9.216730592843692e-24,0.9999869998030039,1.3000196996161448e-05,0.2
570770731,0.0,1.0,0.0,0.2
347858241,0.9999999969062269,0.0,3.0937731358215754e-09,0.2
617342193,2.421639284426216e-30,1.0,2.804524360917091e-16,0.2
618172651,1.0,0.0,0.0,0.2
104357441,1.0,7.49413241360265e-21,1.0939507670360612e-28,0.2
311688651,1.0,0.0,0.0,0.2
601652861,0.699999988079071,4.467125205185459e-18,0.30000001192092896,0.2
323641781,1.0,0.0,0.0,0.2
434372741,0.0,0.0,1.0,0.2
318540001,4.5176193328727084e-35,0.6998215583658194,0.3001784416341806,0.2
616122737,0.06249999196006788,0.8750000160798642,0.06249999196006788,0.2
490910681,0.0,0.0,1.0,0.2
565879421,0.0,0.0,1.0,0.2
520350001,0.0,0.0,1.0,0.2
220759221,0.11364793781268322,0.3719328436711294,0.5144192185161874,0.2
443490761,0.0,1.0,1.7067585148628608e-29,0.2
323237621,0.9999999999999994,0.0,3.9662458927340466e-16,0.2
401144841,0.0,1.0,0.0,0.2
392495311,2.9277791592005455e-33,0.0,1.0,0.2
181737771,0.0,0.0,1.0,0.2
324141031,8.051488645721595e-19,0.24940894782643352,0.7505910521735665,0.2
279260991,0.489371289459407,0.0,0.510628710540593,0.2
303711261,1.1513633194243454e-20,0.6652429431257834,0.33475705687421664,0.2
614563468,0.0,0.9333333340783914,0.06666666592160864,0.2
429950981,1.0,0.0,1.136513976911788e-24,0.2
147890801,4.424675575101978e-06,0.3749981591389885,0.6249974161854364,0.2
436170191,6.992637787124435e-29,0.6008836123066637,0.39911638769333635,0.2
618030099,1.1202357874817744e-33,0.0,1.0,0.2
464790091,1.0,0.0,0.0,0.2
350330041,0.68318391852646,0.08604938044437234,0.23076670102916766,0.2
616774892,1.0,0.0,1.7661400565512272e-19,0.2
155599071,0.0,1.0,0.0,0.2
505559401,3.334516314752038e-08,0.0,0.9999999666548368,0.2
408109331,1.1105863016905601e-09,0.0,0.9999999988894132,0.2
356095091,0.000490815863720152,0.0,0.9995091841362799,0.2
445344591,1.0,0.0,0.0,0.2
349695741,1.0,0.0,0.0,0.2
532778151,3.7237047646351073e-19,5.063464238037751e-25,1.0,0.2
366742991,0.0,0.0,1.0,0.2
473274261,1.0,0.0,0.0,0.2
612950835,1.1514818881483306e-11,8.270195257028204e-18,0.9999999999884853,0.2
611406572,7.609443143500648e-34,0.0,1.0,0.2
211006261,0.0,1.0,3.995526558905982e-27,0.2
613574951,2.234505127807052e-16,9.859499019201804e-12,0.9999999999901403,0.2
462696961,1.0,0.0,0.0,0.2
334233671,1.0,0.0,0.0,0.2
90534411,1.0,0.0,0.0,0.2
609014861,1.0,0.0,0.0,0.2
367317641,1.0,0.0,0.0,0.2
82665391,0.0,0.061083988431438564,0.9389160115685614,0.2
613508440,1.0,0.0,0.0,0.2
599433361,1.0,0.0,0.0,0.2
618381365,0.0,0.0,1.0,0.2
369261521,2.684572372424088e-37,0.0,1.0,0.2
224559801,0.16168214599222436,0.6449623317092502,0.19335552229852546,0.2
616587785,0.03798429137263175,0.6894442583749241,0.27257145025244417,0.2
376246401,1.0,0.0,1.177952829809221e-24,0.2
462975991,1.0,0.0,4.0935140903440476e-36,0.2
222959451,0.04212371996037654,2.3757544701996187e-22,0.9578762800396234,0.2
228466501,0.23520629866099235,0.23558942603495867,0.529204275304049,0.2
